filename,label
IMG_0345_cropped.jpg,0
IMG_0346_cropped.jpg,0
IMG_0347_cropped.jpg,0
IMG_0348_cropped.jpg,0
IMG_0349_cropped.jpg,0
IMG_0350_cropped.jpg,0
IMG_0351_cropped.jpg,1
IMG_0352_cropped.jpg,1
IMG_0353_cropped.jpg,1
IMG_0355_cropped.jpg,0
IMG_0356_cropped.jpg,0
IMG_0357_cropped.jpg,0
IMG_0358_cropped.jpg,0
IMG_0369_cropped.jpg,0
IMG_0370_cropped.jpg,0
IMG_0372_cropped.jpg,0
IMG_0373_cropped.jpg,0
IMG_0374_cropped.jpg,0
IMG_0375_cropped.jpg,0
IMG_0377_cropped.jpg,0
IMG_0379_cropped.jpg,0
IMG_0380_cropped.jpg,0
IMG_0391_cropped.jpg,0
IMG_0392_cropped.jpg,0
IMG_0393_cropped.jpg,0
IMG_0394_cropped.jpg,0
IMG_0395_cropped.jpg,0
IMG_0397_cropped.jpg,1
IMG_0398_cropped.jpg,1
IMG_0401_cropped.jpg,0
IMG_0402_cropped.jpg,0
IMG_0411_cropped.jpg,1
IMG_0412_cropped.jpg,0
IMG_0413_cropped.jpg,0
IMG_0414_cropped.jpg,0
IMG_0418_cropped.jpg,0
IMG_0419_cropped.jpg,0
IMG_0583_cropped.jpg,1
IMG_0584_cropped.jpg,0
IMG_0594_cropped.jpg,1
IMG_0595_cropped.jpg,1
IMG_0603_cropped.jpg,0
IMG_0607_cropped.jpg,0
